1,H,1.008,Hydrogen
2,He,4.0026022,Helium
3,Li,6.94,Lithium
4,Be,9.01218315,Beryllium
5,B,10.81,Boron
6,C,12.011,Carbon
7,N,14.007,Nitrogen
8,O,15.999,Oxygen
9,F,18.99840316,Fluorine
10,Ne,20.17976,Neon
11,Na,22.98976928,Sodium
12,Mg,24.305,Magnesium
13,Al,26.98153857,Aluminum
14,Si,28.085,Silicon
15,P,30.973762,Phosphorus
16,S,32.06,Sulfur
17,Cl,35.45,Chlorine
18,Ar,39.9481,Argon
19,K,39.09831,Potassium
20,Ca,40.0784,Calcium
21,Sc,44.9559085,Scandium
22,Ti,47.8671,Titanium
23,V,50.94151,Vanadium
24,Cr,51.99616,Chromium
25,Mn,54.9380443,Manganese
26,Fe,55.8452,Iron
27,Co,58.9331944,Cobalt
28,Ni,58.69344,Nickel
29,Cu,63.5463,Copper
30,Zn,65.382,Zinc
31,Ga,69.7231,Gallium
32,Ge,72.6308,Germanium
33,As,74.9215956,Arsenic
34,Se,78.9718,Selenium
35,Br,79.904,Bromine
36,Kr,83.7982,Krypton
37,Rb,85.46783,Rubidium
38,Sr,87.621,Strontium
39,Y,88.905842,Yttrium
40,Zr,91.2242,Zirconium
41,Nb,92.906372,Niobium
42,Mo,95.951,Molybdenum
43,Tc,98,Technetium
44,Ru,101.072,Ruthenium
45,Rh,102.905502,Rhodium
46,Pd,106.421,Palladium
47,Ag,107.86822,Silver
48,Cd,112.4144,Cadmium
49,In,114.8181,Indium
50,Sn,118.7107,Tin
51,Sb,121.7601,Antimony
52,Te,127.603,Tellurium
53,I,126.904473,Iodine
54,Xe,131.2936,Xenon
55,Cs,132.905452,Cesium
56,Ba,137.3277,Barium
57,La,138.905477,Lanthanum
58,Ce,140.1161,Cerium
59,Pr,140.907662,Praseodymium
60,Nd,144.2423,Neodymium
61,Pm,145,Promethium
62,Sm,150.362,Samarium
63,Eu,151.9641,Europium
64,Gd,157.253,Gadolinium
65,Tb,158.925352,Terbium
66,Dy,162.5001,Dysprosium
67,Ho,164.930332,Holmium
68,Er,167.2593,Erbium
69,Tm,168.934222,Thulium
70,Yb,173.0451,Ytterbium
71,Lu,174.96681,Lutetium
72,Hf,178.492,Hafnium
73,Ta,180.947882,Tantalum
74,W,183.841,Tungsten
75,Re,186.2071,Rhenium
76,Os,190.233,Osmium
77,Ir,192.2173,Iridium
78,Pt,195.0849,Platinum
79,Au,196.9665695,Gold
80,Hg,200.5923,Mercury
81,Tl,204.38,Thallium
82,Pb,207.21,Lead
83,Bi,208.980401,Bismuth
84,Po,209,Polonium
85,At,210,Astatine
86,Rn,222,Radon
87,Fr,223,Francium
88,Ra,226,Radium
89,Ac,227,Actinium
90,Th,232.03774,Thorium
91,Pa,231.035882,Protactinium
92,U,238.028913,Uranium
93,Np,237,Neptunium
94,Pu,244,Plutonium
95,Am,243,Americium
96,Cm,247,Curium
97,Bk,247,Berkelium
98,Cf,251,Californium
99,Es,252,Einsteinium
100,Fm,257,Fermium
101,Md,258,Mendelevium
102,No,259,Nobelium
103,Lr,266,Lawrencium
105,Db,268,Dubnium
106,Sg,269,Seaborgium
107,Bh,270,Bohrium
108,Hs,269,Hassium
109,Mt,278,Meitnerium
110,Ds,281,Darmstadtium
111,Rg,282,Roentgenium
112,Uub,285,Ununbium
113,Uut,286,Ununtrium
114,Uuq,289,Ununquadium
115,Uup,289,Ununpentium
116,Uuh,293,Ununhexium
117,Uus,294,Ununseptium
118,Uuo,294,Ununoctium
